,date,currency_code,from_myr,to_myr,cpi,cpi_growth_rate,gdp,interest_rate
5514,2020-06-04,KRW,284.8637,0.0035,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5515,2020-06-05,KRW,284.0754,0.0035,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5516,2020-06-09,KRW,280.8518,0.0036,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5517,2020-06-10,KRW,279.461,0.0036,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5518,2020-06-11,KRW,280.6417,0.0036,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5519,2020-06-12,KRW,282.834,0.0035,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5520,2020-06-15,KRW,282.9374,0.0035,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5521,2020-06-16,KRW,283.1456,0.0035,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5522,2020-06-17,KRW,284.3515,0.0035,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5523,2020-06-18,KRW,282.7739,0.0035,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5524,2020-06-19,KRW,283.0451,0.0035,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5525,2020-06-22,KRW,283.657,0.0035,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5526,2020-06-23,KRW,283.2553,0.0035,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5527,2020-06-24,KRW,281.1025,0.0036,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5528,2020-06-25,KRW,282.0402,0.0035,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5529,2020-06-26,KRW,280.1332,0.0036,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5530,2020-06-29,KRW,280.2777,0.0036,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5531,2020-06-30,KRW,279.5747,0.0036,104.71,-0.228680323963801,2.243977860110121,4.321429492890669
5532,2020-07-01,KRW,280.7217,0.0036,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5533,2020-07-02,KRW,280.1843,0.0036,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5534,2020-07-03,KRW,279.9405,0.0036,104.87,0.152802979658114,2.243977860110121,4.321429492890669
